complexity,loss,equation,score,sympy_format,lambda_format
1,0.6931388,-4.0420873e-6,0.0,-4.04208730000000e-6,PySRFunction(X=>-0.00000404208730000000)
3,0.6602648,x4 / x1,0.024294650528743206,x4/x1,PySRFunction(X=>x4/x1)
4,0.61107504,cos(x3 * 18.337046),0.07742119998989484,cos(x3*18.337046),PySRFunction(X=>cos(x3*18.337046))
5,0.6104901,cos(exp(x3) * -18.688406),0.0009576894846678683,cos(exp(x3)*(-18.688406)),PySRFunction(X=>cos(exp(x3)*(-18.688406)))
6,0.58086455,cos(x3 * (x1 * -3.5044906)),0.04974448006088087,cos(x3*x1*(-3.5044906)),PySRFunction(X=>cos(x3*x1*(-3.5044906)))
7,0.5071476,cos(tanh(x3 * x1) * 3.897051),0.13571551165908463,cos(tanh(x1*x3)*3.897051),PySRFunction(X=>cos(tanh(x1*x3)*3.897051))
8,0.39760333,(cos(x1 * x3) + -0.94421303) * 25.830322,0.2433472354842378,(cos(x1*x3) - 0.94421303)*25.830322,PySRFunction(X=>(cos(x1*x3) - 0.94421303)*25.830322)
9,0.39180425,(cos(tanh(x1 * x3)) + -0.95204204) * 31.7822,0.014692497176139949,(cos(tanh(x1*x3)) - 0.95204204)*31.7822,PySRFunction(X=>(cos(tanh(x1*x3)) - 0.95204204)*31.7822)
10,0.3740856,x4 + ((-0.96583915 + cos(x1 * x3)) / 0.038976755),0.046277704591182134,x4 + (cos(x1*x3) - 0.96583915)/0.038976755,PySRFunction(X=>x4 + (cos(x1*x3) - 0.96583915)/0.038976755)
11,0.36508664,exp(x4) + ((cos(x1 * x3) + -1.0139599) / 0.038348783),0.024349952953796997,(cos(x1*x3) - 1.0139599)/0.038348783 + exp(x4),PySRFunction(X=>(cos(x1*x3) - 1.0139599)/0.038348783 + exp(x4))
12,0.35497156,(x4 * 3.1051354) + ((cos(x1 * x3) + -1.0065798) / 0.035929263),0.02809702168756896,x4*3.1051354 + (cos(x1*x3) - 1.0065798)/0.035929263,PySRFunction(X=>x4*3.1051354 + (cos(x1*x3) - 1.0065798)/0.035929263)
13,0.34887996,(x4 * 3.1063225) + ((cos(tanh(x1 * x3)) + -1.002696) / 0.029290896),0.01730976470826592,x4*3.1063225 + (cos(tanh(x1*x3)) - 1.002696)/0.029290896,PySRFunction(X=>x4*3.1063225 + (cos(tanh(x1*x3)) - 1.002696)/0.029290896)
14,0.34603113,(x4 * 3.1065319) + ((cos(tanh(tanh(x1 * x3))) + -1.0006101) / 0.024853326),0.008199166773068124,x4*3.1065319 + (cos(tanh(tanh(x1*x3))) - 1.0006101)/0.024853326,PySRFunction(X=>x4*3.1065319 + (cos(tanh(tanh(x1*x3))) - 1.0006101)/0.024853326)
15,0.34451157,(x4 * 3.1065338) + ((cos(tanh(tanh(tanh(x3 * x1)))) + -0.9998778) / 0.021881018),0.004401067313420364,x4*3.1065338 + (cos(tanh(tanh(tanh(x1*x3)))) - 0.9998778)/0.021881018,PySRFunction(X=>x4*3.1065338 + (cos(tanh(tanh(tanh(x1*x3)))) - 0.9998778)/0.021881018)
16,0.32127848,(x4 + ((x0 * tanh(((x1 / x2) + x1) * x1)) / 5.1937065)) * 3.2492785,0.06981938881899241,(x0*tanh(x1*(x1 + x1/x2))/5.1937065 + x4)*3.2492785,PySRFunction(X=>(x0*tanh(x1*(x1 + x1/x2))/5.1937065 + x4)*3.2492785)
17,0.32032502,(((x0 * tanh(x1 * (x1 + (x1 / x2)))) / 6.0921264) + tanh(x4)) * 3.8303127,0.0029721181441949764,(x0*tanh(x1*(x1 + x1/x2))/6.0921264 + tanh(x4))*3.8303127,PySRFunction(X=>(x0*tanh(x1*(x1 + x1/x2))/6.0921264 + tanh(x4))*3.8303127)
18,0.3101405,(x4 + (x1 * tanh((x1 + (x1 / x2)) * ((x0 / 2.5847447) + -9.735484)))) * 3.4312348,0.032310747222375764,(x1*tanh((x1 + x1/x2)*(x0/2.5847447 - 9.735484)) + x4)*3.4312348,PySRFunction(X=>(x1*tanh((x1 + x1/x2)*(x0/2.5847447 - 9.735484)) + x4)*3.4312348)
19,0.30982447,tanh((x4 * 0.57119864) + ((tanh(x1 / 5.6020126) * ((x1 / x2) + x1)) * x0)) * 6.5204616,0.001019509303480213,tanh(x0*(x1 + x1/x2)*tanh(x1/5.6020126) + x4*0.57119864)*6.5204616,PySRFunction(X=>tanh(x0*(x1 + x1/x2)*tanh(x1/5.6020126) + x4*0.57119864)*6.5204616)
20,0.30436316,((tanh(((x1 / -1.4926332) + (x0 / 3.0070467)) * (x1 + (x1 / x2))) * x1) + x4) * 3.7193508,0.017784317610099735,(x1*tanh((x1 + x1/x2)*(x0/3.0070467 + x1/(-1.4926332))) + x4)*3.7193508,PySRFunction(X=>(x1*tanh((x1 + x1/x2)*(x0/3.0070467 + x1/(-1.4926332))) + x4)*3.7193508)
21,0.30396542,tanh(((x3 + ((x1 + (x1 / x2)) * x0)) * tanh(x1 / 5.459544)) + (x4 * 0.5546926)) * 6.840691,0.0013076487600702713,tanh(x4*0.5546926 + (x0*(x1 + x1/x2) + x3)*tanh(x1/5.459544))*6.840691,PySRFunction(X=>tanh(x4*0.5546926 + (x0*(x1 + x1/x2) + x3)*tanh(x1/5.459544))*6.840691)
22,0.29828152,(x4 + (x1 * tanh(x3 + (((x0 / 2.849235) + (x1 / -1.5500679)) * ((x1 / x2) + x1))))) * 3.5592837,0.018876206390526708,(x1*tanh(x3 + (x1 + x1/x2)*(x0/2.849235 + x1/(-1.5500679))) + x4)*3.5592837,PySRFunction(X=>(x1*tanh(x3 + (x1 + x1/x2)*(x0/2.849235 + x1/(-1.5500679))) + x4)*3.5592837)
23,0.29826948,(x4 + (x1 * tanh(tanh(x3) + (((x0 / 2.849235) + (x1 / -1.5500679)) * ((x1 / x2) + x1))))) * 3.5592837,4.0365366923109345e-05,(x1*tanh((x1 + x1/x2)*(x0/2.849235 + x1/(-1.5500679)) + tanh(x3)) + x4)*3.5592837,PySRFunction(X=>(x1*tanh((x1 + x1/x2)*(x0/2.849235 + x1/(-1.5500679)) + tanh(x3)) + x4)*3.5592837)
24,0.29651704,((x1 * tanh(((x1 / -1.4926332) + (x0 / 3.0070467)) * (((x1 / x2) + x1) + (x3 * 0.037296787)))) + x4) * 3.7193508,0.005892685903296238,(x1*tanh((x0/3.0070467 + x1/(-1.4926332))*(x1 + x1/x2 + x3*0.037296787)) + x4)*3.7193508,PySRFunction(X=>(x1*tanh((x0/3.0070467 + x1/(-1.4926332))*(x1 + x1/x2 + x3*0.037296787)) + x4)*3.7193508)
